Date,Hour,Consumption 
2021-05-06,0,34836.79
2021-05-06,1,33735.89
2021-05-06,2,33170.81
2021-05-06,3,32406.81
2021-05-06,4,31797.03
2021-05-06,5,30118.57
2021-05-06,6,28762.49
2021-05-06,7,30417.27
2021-05-06,8,34881.25
2021-05-06,9,37383.31
2021-05-06,10,38504.3
2021-05-06,11,39531.2
2021-05-06,12,38609.29
2021-05-06,13,39306.9
2021-05-06,14,40333.91
2021-05-06,15,39593.82
2021-05-06,16,38659.98
2021-05-06,17,37359.97
2021-05-06,18,36731.07
2021-05-06,19,37303.31
2021-05-06,20,36776.98
2021-05-06,21,37441.86
2021-05-06,22,36966.27
2021-05-06,23,35859.09
2021-05-07,0,34407.89
2021-05-07,1,32984.77
2021-05-07,2,32736.92
2021-05-07,3,31913.44
2021-05-07,4,31318.7
2021-05-07,5,29803.19
2021-05-07,6,28383.82
2021-05-07,7,29731.46
2021-05-07,8,33607.69
2021-05-07,9,36223.81
2021-05-07,10,37333.64
2021-05-07,11,38342.99
2021-05-07,12,37469.05
2021-05-07,13,37356.55
2021-05-07,14,38914.87
2021-05-07,15,38593.46
2021-05-07,16,38018.06
2021-05-07,17,37263.45
2021-05-07,18,37036.51
2021-05-07,19,37511.06
2021-05-07,20,36925.47
2021-05-07,21,37404.93
2021-05-07,22,36912.22
2021-05-07,23,35764.91
2021-05-08,0,34403.55
2021-05-08,1,33454.34
2021-05-08,2,32807.13
2021-05-08,3,32151.4
2021-05-08,4,31402.52
2021-05-08,5,29550.87
2021-05-08,6,28038.74
2021-05-08,7,29092.95
2021-05-08,8,32484.64
2021-05-08,9,34633.34
2021-05-08,10,35799.09
2021-05-08,11,36684.17
2021-05-08,12,36509.19
2021-05-08,13,37179.4
2021-05-08,14,37586.8
2021-05-08,15,37325.24
2021-05-08,16,36488.04
2021-05-08,17,35779.48
2021-05-08,18,36033.29
2021-05-08,19,36786.43
2021-05-08,20,36210.81
2021-05-08,21,36544.8
2021-05-08,22,35744.04
2021-05-08,23,34356.31
2021-05-09,0,33442.59
2021-05-09,1,32124.14
2021-05-09,2,31577.68
2021-05-09,3,30787.81
2021-05-09,4,29749.04
2021-05-09,5,27711.74
2021-05-09,6,25955.15
2021-05-09,7,26239.71
2021-05-09,8,27903.03
2021-05-09,9,29351.99
2021-05-09,10,30472.59
2021-05-09,11,31618.15
2021-05-09,12,32177.33
2021-05-09,13,32799.1
2021-05-09,14,33153.8
2021-05-09,15,32761.88
2021-05-09,16,32270.35
2021-05-09,17,32331.51
2021-05-09,18,33056.62
2021-05-09,19,34329.3
2021-05-09,20,34208.08
2021-05-09,21,34478.45
2021-05-09,22,33799.12
2021-05-09,23,32711.54
2021-05-10,0,31700.66
2021-05-10,1,30828.2
2021-05-10,2,30322.73
2021-05-10,3,29564.43
2021-05-10,4,28658.91
2021-05-10,5,26930.25
2021-05-10,6,25795.88
2021-05-10,7,27543.87
2021-05-10,8,31129.79
2021-05-10,9,33520.22
2021-05-10,10,34874.2
2021-05-10,11,36223.77
2021-05-10,12,36005.28
2021-05-10,13,36634.72
2021-05-10,14,37282.86
2021-05-10,15,36951.41
2021-05-10,16,36500.54
2021-05-10,17,35959.34
2021-05-10,18,35651.65
2021-05-10,19,36589.31
2021-05-10,20,36167.82
2021-05-10,21,36882.37
2021-05-10,22,36142.97
2021-05-10,23,34831.81
2021-05-11,0,33683.03
2021-05-11,1,32477.24
2021-05-11,2,31925.07
2021-05-11,3,31118.59
2021-05-11,4,30205.95
2021-05-11,5,28411.61
2021-05-11,6,27090.5
2021-05-11,7,27861.72
2021-05-11,8,31577.08
2021-05-11,9,33717.6
2021-05-11,10,34934.01
2021-05-11,11,36350.33
2021-05-11,12,35792.75
2021-05-11,13,36402.26
2021-05-11,14,36757.14
2021-05-11,15,36280.1
2021-05-11,16,35741.92
2021-05-11,17,35025.67
2021-05-11,18,34912.83
2021-05-11,19,35807.47
2021-05-11,20,35729.47
2021-05-11,21,36111.82
2021-05-11,22,35132.68
2021-05-11,23,33872.43
2021-05-12,0,32330.36
2021-05-12,1,30906.85
2021-05-12,2,30575.87
2021-05-12,3,29801.16
2021-05-12,4,28637.3
2021-05-12,5,26396.33
2021-05-12,6,24630.13
2021-05-12,7,24652.7
2021-05-12,8,26155.07
2021-05-12,9,27634.42
2021-05-12,10,29063.55
2021-05-12,11,30072.82
2021-05-12,12,30297.55
2021-05-12,13,30365.61
2021-05-12,14,30376.67
2021-05-12,15,29837.97
2021-05-12,16,29068.99
2021-05-12,17,29358.75
2021-05-12,18,30103.75
2021-05-12,19,31296.59
2021-05-12,20,31206.65
2021-05-12,21,31445.38
2021-05-12,22,30562.35
2021-05-12,23,29434.98
2021-05-13,0,27993.05
2021-05-13,1,26044.81
2021-05-13,2,24438.7
2021-05-13,3,23287.1
2021-05-13,4,22984.77
2021-05-13,5,22428.33
2021-05-13,6,21755.67
2021-05-13,7,22295.28
2021-05-13,8,23140.15
2021-05-13,9,24267.63
2021-05-13,10,25121.04
2021-05-13,11,25538.74
2021-05-13,12,25423.89
2021-05-13,13,25462.56
2021-05-13,14,25139.95
2021-05-13,15,24728.19
2021-05-13,16,24686.75
2021-05-13,17,24906.19
2021-05-13,18,25139.65
2021-05-13,19,26397.71
2021-05-13,20,28367.61
2021-05-13,21,28230.74
2021-05-13,22,27712.8
2021-05-13,23,26790.24
2021-05-14,0,25684.84
2021-05-14,1,24226.54
2021-05-14,2,23251.93
2021-05-14,3,22624.02
2021-05-14,4,22222.19
2021-05-14,5,21503.05
2021-05-14,6,20552.53
2021-05-14,7,21312.5
2021-05-14,8,23220.08
2021-05-14,9,25072.43
2021-05-14,10,26785.37
2021-05-14,11,27992.52
2021-05-14,12,28388.15
2021-05-14,13,28473.31
2021-05-14,14,28306.64
2021-05-14,15,27851.46
2021-05-14,16,27609
2021-05-14,17,27428.4
2021-05-14,18,27494.39
2021-05-14,19,28328.47
2021-05-14,20,30155.15
2021-05-14,21,29836.16
2021-05-14,22,29050.9
2021-05-14,23,28082.85
2021-05-15,0,26722.49
2021-05-15,1,25512.62
2021-05-15,2,24372.96
2021-05-15,3,23785.45
2021-05-15,4,23424.77
2021-05-15,5,22421.32
2021-05-15,6,21572.3
2021-05-15,7,22424.35
2021-05-15,8,24443.64
2021-05-15,9,26090.61
2021-05-15,10,27753.37
2021-05-15,11,29002.8
2021-05-15,12,29418.91
2021-05-15,13,29849.84
2021-05-15,14,29739.28
2021-05-15,15,29220.14
2021-05-15,16,28766.11
2021-05-15,17,28635.63
2021-05-15,18,28831.86
2021-05-15,19,29437.8
2021-05-15,20,31388.57
2021-05-15,21,30830.89
2021-05-15,22,29978.43
2021-05-15,23,28964.74
2021-05-16,0,27721.51
2021-05-16,1,26422.26
2021-05-16,2,25326.96
2021-05-16,3,24599.47
2021-05-16,4,24256.93
2021-05-16,5,23168.72
2021-05-16,6,22320.93
2021-05-16,7,23360.2
2021-05-16,8,25144.83
2021-05-16,9,26831.44
2021-05-16,10,28721.27
2021-05-16,11,29903.87
2021-05-16,12,30319.47
2021-05-16,13,30867.99
2021-05-16,14,31014.92
2021-05-16,15,30559.88
2021-05-16,16,30114.21
2021-05-16,17,29784.15
2021-05-16,18,29768.13
2021-05-16,19,30680.66
2021-05-16,20,32558.25
2021-05-16,21,32135.67
2021-05-16,22,31547.21
2021-05-16,23,30506.76
2021-05-17,0,29094.42
2021-05-17,1,28019.28
2021-05-17,2,26981.23
2021-05-17,3,26258.86
2021-05-17,4,26106.86
2021-05-17,5,25387.77
2021-05-17,6,25151.78
2021-05-17,7,27782.05
2021-05-17,8,33524.76
2021-05-17,9,36641.9
2021-05-17,10,38324.97
2021-05-17,11,39512.31
2021-05-17,12,38339.77
2021-05-17,13,38784.85
2021-05-17,14,39233.98
2021-05-17,15,38564.04
2021-05-17,16,38072.72
2021-05-17,17,37199.62
2021-05-17,18,36030.27
2021-05-17,19,36269.87
2021-05-17,20,37533.79
2021-05-17,21,37213.47
2021-05-17,22,36248.84
2021-05-17,23,34964.66
2021-05-18,0,33376.8
2021-05-18,1,31810.99
2021-05-18,2,30657.91
2021-05-18,3,29937.87
2021-05-18,4,29593.62
2021-05-18,5,28813.94
2021-05-18,6,28540.39
2021-05-18,7,30533.36
2021-05-18,8,35034.02
2021-05-18,9,38298.67
2021-05-18,10,39588.06
2021-05-18,11,40686.16
2021-05-18,12,39471.75
2021-05-18,13,39930.72
2021-05-18,14,40224.68
2021-05-18,15,39796.01
2021-05-18,16,39082.37
2021-05-18,17,38211.75
2021-05-18,18,36930.25
2021-05-18,19,37040.13
2021-05-18,20,38129.94
2021-05-18,21,37653.96
2021-05-18,22,36632.51
2021-05-18,23,35137.07
2021-05-19,0,33345.15
2021-05-19,1,31715.6
2021-05-19,2,30607.83
2021-05-19,3,29618.65
2021-05-19,4,29306.34
2021-05-19,5,28560.95
2021-05-19,6,28112.67
2021-05-19,7,29360.1
2021-05-19,8,33309.14
2021-05-19,9,36069.75
2021-05-19,10,37563.72
2021-05-19,11,38564.9
2021-05-19,12,37710.18
2021-05-19,13,37948.52
2021-05-19,14,38392.65
2021-05-19,15,37705.16
2021-05-19,16,37397.45
2021-05-19,17,36615.53
2021-05-19,18,35979.71
2021-05-19,19,36232.92
2021-05-19,20,37286.68
2021-05-19,21,37120.06
2021-05-19,22,36409.89
2021-05-19,23,34814.69